35664,92864,28046
64082,24863,56839
57727,04923,11768
61139,45666,94074
48793,40177,73508
01503,78167,25843
62913,57942,28838
07877,05183,31881
95482,01470,91237
59234,62281,72348
46136,80872,51119
39857,00326,83469
33616,68996,43883
38091,37523,56321
52215,16623,41142
87822,57285,55000
57886,97112,39851
28294,05582,10066
30404,87272,71014
11942,84605,06515
86611,76030,65140
47902,66213,71995
94032,63540,14139
24407,98725,42502
17217,98294,24460
73765,45015,97304
36708,05392,73871
98463,16054,85844
00912,39838,66787
21077,63348,04296
62220,33360,14952
19792,82956,10257
07294,83687,66138
51242,66292,24861
00559,22757,98728
68494,72576,24827
32149,34970,57312
79977,29787,23515
34582,60170,37467
39819,30143,03543
63755,57746,29157
37515,07988,64487
30894,84939,26289
76643,04203,75143
97131,54159,51769
90807,02486,10256
66865,01572,52690
31818,47485,20476
66176,21710,35206
60107,31452,15696
90294,41186,12713
21645,63740,44349
86231,95711,75288
12912,42624,47272
78286,15559,37563
06738,00959,63463
96716,03113,16108
16043,38365,28357
30320,55601,70069
93296,46008,12096
08454,11824,15043
65224,93877,85397
08206,75156,36265
69640,56688,06984
68589,12077,59312
71904,40179,44825
83921,06664,81117
28148,51983,91524
62074,59729,95802
55008,25501,00701
76230,42149,90888
49339,85466,90150
07271,97408,78833
67125,68897,64642
04422,11371,99534
84842,66632,03473
48716,47523,12632
18226,84348,05426
14105,63692,46603
10891,69210,62402
19113,48800,21550
09559,79596,63825
05480,67168,73981
90926,26244,23019
16204,65900,36982
32927,66738,80781
72310,00625,16518
11580,18912,39919
65872,81730,65819
89981,39123,16027
29067,39894,70622
18433,07603,63470
48260,22599,84557
87947,76419,14626
39714,10709,23595
92647,46926,16726
25444,40432,58023
43946,23528,84973
74453,06126,76616
10880,71846,45650
